Parameter,Coefficient,SE,CI95_Lower,CI95_Upper,percentile,n_cell_types,parsed,coef_type,mark1,mark2,range,involves_mark5,baseline_coef,deviation,abs_deviation,rel_deviation
(Intercept),-10.6129907164101,0.0526277704979537,-10.7161411465861,-10.5098402862341,50th,6,"{'type': 'intercept', 'mark1': None, 'mark2': None, 'range': None}",intercept,,,,False,-10.3247929167551,-0.2881977996549985,0.2881977996549985,-0.027913179661406964
marks1,1.32923616429095,0.0593554519687872,1.21289947843213,1.44557285014978,50th,6,"{'type': 'mark', 'mark1': 1, 'mark2': None, 'range': None}",mark,1.0,,,False,1.27403277017785,0.055203394113100046,0.055203394113100046,0.043329650069409836
marks2,0.413656738646338,0.0601927534343088,0.295678941915093,0.531634535377583,50th,6,"{'type': 'mark', 'mark1': 2, 'mark2': None, 'range': None}",mark,2.0,,,False,0.51109353896266,-0.09743680031632196,0.09743680031632196,-0.19064377236116112
marks3,-0.324197657347272,0.0872971669792745,-0.49530010462665,-0.153095210067894,50th,6,"{'type': 'mark', 'mark1': 3, 'mark2': None, 'range': None}",mark,3.0,,,False,-0.416116244340398,0.091918586993126,0.091918586993126,0.22089641589633222
marks4,0.120700061303671,0.0766238063447005,-0.0294825991319421,0.270882721739284,50th,6,"{'type': 'mark', 'mark1': 4, 'mark2': None, 'range': None}",mark,4.0,,,False,0.0762266022271859,0.0444734590764851,0.0444734590764851,0.5834375102486213
InteractionmarkX0xX0x100,0.0976961087948915,0.0027600598989058,0.0922863913930361,0.103105826196747,50th,6,"{'type': 'interaction', 'mark1': 0, 'mark2': 0, 'range': 100}",interaction,0.0,0.0,100.0,False,0.0992707683974456,-0.001574659602554096,0.001574659602554096,-0.015862268685817766
InteractionmarkX0xX1x100,0.0231849383364295,0.0013654229974719,0.0205087092613844,0.0258611674114745,50th,6,"{'type': 'interaction', 'mark1': 0, 'mark2': 1, 'range': 100}",interaction,0.0,1.0,100.0,False,0.0228303199596623,0.00035461837676720176,0.00035461837676720176,0.015532781662301723
InteractionmarkX1xX1x100,0.0470648026783835,0.0009138532658975,0.0452736502772242,0.0488559550795428,50th,6,"{'type': 'interaction', 'mark1': 1, 'mark2': 1, 'range': 100}",interaction,1.0,1.0,100.0,False,0.0515504340166038,-0.004485631338220303,0.004485631338220303,-0.08701442412830297
InteractionmarkX0xX2x100,-0.0706283300998875,0.0045850837303009,-0.0796150942112773,-0.0616415659884976,50th,6,"{'type': 'interaction', 'mark1': 0, 'mark2': 2, 'range': 100}",interaction,0.0,2.0,100.0,False,-0.070112416649522,-0.0005159134503655016,0.0005159134503655016,-0.007358374939614658
InteractionmarkX1xX2x100,-0.0163600786435658,0.0013169970919098,-0.0189413929437091,-0.0137787643434225,50th,6,"{'type': 'interaction', 'mark1': 1, 'mark2': 2, 'range': 100}",interaction,1.0,2.0,100.0,False,-0.0123632211090873,-0.003996857534478501,0.003996857534478501,-0.3232860972786528
